Timestamp,"By filling out this form I affirm that I belong to the Memon community and will answer all questions to the best of my abilities. All information collected will be entirely anonymous and carry no commercial bearing. I consent to such information being used for the scope of this project only, which is for purely academic and research purposes.",What is your age?,What is your gender?,What is your country of residence?,What sub-group(jamaat) of the Memon community do you belong to ?,"If your father belongs to the memon community, please mention his subgroup/jamat ","If your mother belongs to the memon community, please mention her subgroup/jamat ",How important is it for your current/future partner to be from the Memon community?,How important is it for your FAMILY that your current/future partner be part of the Memon community?,How likely are you to express your feelings for someone who is NOT from the Memon community?,How likely are you to express your feelings for someone who is from the Memon community?,How likely are you to marry someone who DOES NOT BELONG to Memon community?,How likely are you to marry someone who BELONGS to Memon community?,What is your current marital status?,"Does your partner belong to the Memon community? If Memon, please specify subgroup/jamat",What is the gender of your partner?,How old were you when you started seeing each other?,How old was your partner when you started to see them?,Is the relationship formal or yet to become formal?,"Does your partner belong to the Memon community? If Memon, please specify subgroup/jamat",What is the gender of your partner?,How old were you when you got engaged?,How old was your PARTNER when you got engaged?,How old were you when you got married?,How old was your PARTNER when you got married?,Was it an arranged marriage?,"Have you been in a relationship/ engaged previously? If with a Memon, but different subgroup, please specify in the others option."
5/6/2021 22:34:47,I agree,18 - 25,Female,,Bantwa,Bantwa,Jaipur,1,1,5,5,5,5,Single/Divorced,,,,,,,,,,,,,With a okhai memon
5/7/2021 0:12:43,I agree,25 - 30,Male,Pakistan,Bantwa,Bantwa,Bantwa,4,5,3,4,3,5,Married,,,,,,Bantwa,Female,26,23,27,24,Yes,
5/6/2021 22:52:36,I agree,18 - 25,Female,Pakistan,Dhoraji waley,Dhoraji waley,She does not ,1,1,5,1,5,1,Relationship / Dating,No,Female,19,20,Not yet engaged,,,,,,,,
5/6/2021 23:11:29,I agree,18 - 25,Female,Pakistan ,Dhoraji waley,Dhoraji waley,Dhoraji waley ,3,4,4,4,3,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 0:15:58,I agree,25 - 30,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,5,5,5,1,1,3,Relationship / Dating,Dhoraji waley,Female,26,23,Engaged,,,,,,,,
5/7/2021 0:29:07,I agree,25 - 30,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,5,5,1,5,3,5,Married,,,,,,Dhoraji waley,Female,25,20,26,21,Yes,
5/7/2021 1:18:00,I agree,18 - 25,Female,Pakistan ,Dhoraji waley,No he is Punjabi ,Dhoraji waley,1,1,5,5,3,3,Relationship / Dating,No,Male,18,19,Not yet engaged,,,,,,,,
5/7/2021 1:44:17,I agree,30-35,Female,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,1,1,4,3,5,1,Married,,,,,,No,Male,27,27,28,28,Yes,
5/7/2021 0:15:39,I agree,18 - 25,Male,Pakistan,Gondal waley,Gondal waley,Gondal waley,3,1,5,5,5,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/6/2021 22:59:08,I agree,18 - 25,Female,Pakistan,Jaipur waley,Jaipur waley,Jamnagar,1,2,5,3,5,2,Married,,,,,,No,Male,22,27,24,29,No,
